NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 99853,Native 'BC Collection: Site 81',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99857,Native 'BC Collection: Site 81',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99861,Native 'BC Collection: Site 83',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99864,Native 'BC Collection: Site 84',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99873,Native 'BC Collection: Site 85',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99878,Native 'BC Collection: Site 85',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99881,Native 'BC Collection: Site 86 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99884,Native 'BC Collection: Site 86 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99887,Native 'BC Collection: Site 87',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99896,Native 'BC Collection: Site 88',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99900,Native 'BC Collection: Site 88',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99903,Native 'BC Collection: Site 88',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99906,Native 'BC Collection: Site 92',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99909,Native 'BC Collection: Site 92',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99913,Native 'BC Collection: Site 92',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99922,Native 'BC Collection: Site 100',Fragaria virginiana Mill. subsp. virginiana,"British Columbia, Canada",CCG
CN 99925,Native 'BC Collection: Site 104',Fragaria virginiana Mill. subsp. virginiana,"British Columbia, Canada",CCG
CN 99928,Native 'BC Collection: Site 105',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99931,Native 'BC Collection: Site 105',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99935,Native 'BC Collection: Site 105',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99941,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99944,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99947,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99950,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99953,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99957,Native 'BC Collection: Site 106',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99969,Native 'BC Collection: Site 107',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99972,Native 'BC Collection: Site 107',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99975,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99979,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99992,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99995,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 99998,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100002,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100005,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100014,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100017,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100020,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100024,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100027,Native 'BC Collection: Site 110',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100036,Native 'BC Collection: Site 111 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100039,Native 'BC Collection: Site 111 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100042,Native 'BC Collection: Site 111 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100046,Native 'BC Collection: Site 111 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100049,Native 'BC Collection: Site 111 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100052,Native 'BC Collection: Site 111 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100058,Native 'BC Collection: Site 112 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100059,Native 'BC Collection: Site 112 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100061,Native 'BC Collection: Site 112 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100064,Native 'BC Collection: Site 112 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100068,Native 'BC Collection: Site 112 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100074,Native 'BC Collection: Site 112 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100078,Native 'BC Collection: Site 112 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100083,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100086,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100090,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100093,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100096,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100104,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100106,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100109,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100113,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100116,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100119,Native 'BC Collection: Site 114',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100128,Native 'BC Collection: Site 115',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100129,Native 'BC Collection: Site 115',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100131,Native 'BC Collection: Site 115',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100135,Native 'BC Collection: Site 115',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100138,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100141,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100150,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100153,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100157,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100160,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100163,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100167,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100175,Native 'BC Collection: Site 116 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100182,Native 'BC Collection: Site 117 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100185,Native 'BC Collection: Site 117 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100189,Native 'BC Collection: Site 117 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100197,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100201,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100204,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100207,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100212,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100215,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100220,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100224,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100227,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100230,Native 'BC Collection: Site 118 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100234,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100240,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100249,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100252,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100259,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100266,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100268,Native 'BC Collection: Site 119 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100271,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100274,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100278,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100281,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100284,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100290,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100291,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100293,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100296,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100300,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100303,Native 'BC Collection: Site 120 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100312,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100315,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100318,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100323,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100326,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100329,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100336,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100338,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100341,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100345,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100348,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100351,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100360,Native 'BC Collection: Site 121',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100363,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100367,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100370,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100373,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100382,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100385,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100389,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100392,Native 'BC Collection: Site 122 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100395,Native 'BC Collection: Site 122 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 99599,Native 'BC Collection: Site 124 A',Fragaria virginiana Mill.,"British Columbia, Canada",CCG
CN 100399,Native 'BC Collection: Site 125',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100402,Native 'BC Collection: Site 125',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100405,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100408,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100412,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100421,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100424,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100427,Native 'BC Collection: Site 126',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100430,Native 'BC Collection: Site 127 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100435,Native 'BC Collection: Site 127 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100438,Native 'BC Collection: Site 127 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100444,Native 'BC Collection: Site 128',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100447,Native 'BC Collection: Site 129',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100450,Native 'BC Collection: Site 129',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100454,Native 'BC Collection: Site 130 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100457,Native 'BC Collection: Site 130 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100466,Native 'BC Collection: Site 130 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100469,Native 'BC Collection: Site 130 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100472,Native 'BC Collection: Site 130 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100476,Native 'BC Collection: Site 131',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
CN 100480,Native 'BC Collection: Site 132',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100492,Native 'BC Collection: Site 132',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,"British Columbia, Canada",CCG
CN 100495,Native 'BC Collection: Site 133 B',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,"British Columbia, Canada",CCG
