TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Betula occidentalis,Betula,Betula occidentalis,,,British Columbia
Balsamorhiza sagittata,Balsamorhiza,Balsamorhiza sagittata,,,British Columbia
Blitum capitatum,Blitum,Blitum capitatum,,,Ontario
Carya ovata,Carya,Carya ovata,,,Ontario
Betula alleghaniensis,Betula,Betula alleghaniensis,,,New Brunswick
Bromus inermis,Bromus,Bromus inermis,,,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,Quebec
Carya ovata,Carya,Carya ovata,,,Quebec
Betula alleghaniensis,Betula,Betula alleghaniensis,,,Nova Scotia
Carya glabra,Carya,Carya glabra,,,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Manitoba
Carya cordiformis,Carya,Carya cordiformis,,,Quebec
Betula alleghaniensis,Betula,Betula alleghaniensis,,,Quebec
Carya cordiformis,Carya,Carya cordiformis,,,Ontario
Betula papyrifera,Betula,Betula papyrifera,,,Nova Scotia
Betula papyrifera,Betula,Betula papyrifera,,,Alberta
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,British Columbia
Astragalus bisulcatus,Astragalus,Astragalus bisulcatus,,,Alberta
Bromus inermis,Bromus,Bromus inermis,,,Saskatchewan
Blitum capitatum,Blitum,Blitum capitatum,,,British Columbia
Blitum nuttallianum,Blitum,Blitum nuttallianum,,,Alberta
Astragalus miser,Astragalus,Astragalus miser,,,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,British Columbia
Betula alleghaniensis,Betula,Betula alleghaniensis,,,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Alberta
Betula populifolia,Betula,Betula populifolia,,,Nova Scotia
Calypso bulbosa,Calypso,Calypso bulbosa,,,Alberta
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Alberta
Camassia quamash,Camassia,Camassia quamash,,,British Columbia
Caltha leptosepala,Caltha,Caltha leptosepala,,,British Columbia
Bromus kalmii,Bromus,Bromus kalmii,,,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Quebec
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,British Columbia
Betula populifolia,Betula,Betula populifolia,,,New Brunswick
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Ontario
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Manitoba
Calypso bulbosa,Calypso,Calypso bulbosa,,,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,Manitoba
Blitum capitatum,Blitum,Blitum capitatum,,,Manitoba
Astragalus agrestis,Astragalus,Astragalus agrestis,,,British Columbia
Astragalus missouriensis,Astragalus,Astragalus missouriensis,,,Alberta
Astragalus purshii,Astragalus,Astragalus purshii,,,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,Saskatchewan
Bromus ciliatus,Bromus,Bromus ciliatus,,,Ontario
Camassia quamash,Camassia,Camassia quamash,,,Alberta
Carya laciniosa,Carya,Carya laciniosa,,,Ontario
Carex obnupta,Carex,Carex obnupta,,,British Columbia
Astragalus williamsii,Astragalus,Astragalus williamsii,,,Yukon
Astragalus collinus,Astragalus,Astragalus collinus,,,British Columbia
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Alberta
Blitum capitatum,Blitum,Blitum capitatum,,,Saskatchewan
Betula alleghaniensis,Betula,Betula alleghaniensis,,,Prince Edward Island
Betula populifolia,Betula,Betula populifolia,,,Quebec
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Yukon
Astragalus crassicarpus,Astragalus,Astragalus crassicarpus,,,Alberta
Astragalus vexilliflexus,Astragalus,Astragalus vexilliflexus,,,Alberta
Astragalus neglectus,Astragalus,Astragalus neglectus,,,Ontario
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Alberta
Blitum capitatum,Blitum,Blitum capitatum,,,Alberta
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Nova Scotia
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Yukon
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Yukon
Astragalus americanus,Astragalus,Astragalus americanus,,,Alberta
Calypso bulbosa var. occidentalis,Calypso,Calypso bulbosa,var.,occidentalis,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,Prince Edward Island
Bromus ciliatus,Bromus,Bromus ciliatus,,,Alberta
Caltha leptosepala,Caltha,Caltha leptosepala,,,Alberta
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Alberta
Betula populifolia,Betula,Betula populifolia,,,Ontario
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Alberta
Astragalus umbellatus,Astragalus,Astragalus umbellatus,,,Yukon
Astragalus pectinatus,Astragalus,Astragalus pectinatus,,,Saskatchewan
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Quebec
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Ontario
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Saskatchewan
Blitum nuttallianum,Blitum,Blitum nuttallianum,,,Saskatchewan
Bromus porteri,Bromus,Bromus porteri,,,Saskatchewan
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Nunavut
Balsamorhiza deltoidea,Balsamorhiza,Balsamorhiza deltoidea,,,British Columbia
Blitum capitatum,Blitum,Blitum capitatum,,,Yukon
Astragalus americanus,Astragalus,Astragalus americanus,,,British Columbia
Bromus pubescens,Bromus,Bromus pubescens,,,Ontario
Betula papyrifera,Betula,Betula papyrifera,,,New Brunswick
Bromus vulgaris,Bromus,Bromus vulgaris,,,British Columbia
Astragalus bisulcatus,Astragalus,Astragalus bisulcatus,,,Saskatchewan
Camassia leichtlinii,Camassia,Camassia leichtlinii,,,British Columbia
Astragalus gilviflorus,Astragalus,Astragalus gilviflorus,,,Saskatchewan
Astragalus drummondii,Astragalus,Astragalus drummondii,,,Saskatchewan
Betula lenta,Betula,Betula lenta,,,Ontario
Astragalus bourgovii,Astragalus,Astragalus bourgovii,,,British Columbia
Astragalus vexilliflexus,Astragalus,Astragalus vexilliflexus,,,British Columbia
Bromus pacificus,Bromus,Bromus pacificus,,,British Columbia
Bromus pubescens,Bromus,Bromus pubescens,,,Manitoba
Astragalus lotiflorus,Astragalus,Astragalus lotiflorus,,,Saskatchewan
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Saskatchewan
Calypso bulbosa,Calypso,Calypso bulbosa,,,Saskatchewan
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Quebec
Astragalus alpinus,Astragalus,Astragalus alpinus,,,British Columbia
Astragalus robbinsii,Astragalus,Astragalus robbinsii,,,British Columbia
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Northwest Territories
Bromus inermis,Bromus,Bromus inermis,,,Yukon
Astragalus canadensis,Astragalus,Astragalus canadensis,,,British Columbia
Blitum capitatum,Blitum,Blitum capitatum,,,Northwest Territories
Blitum nuttallianum,Blitum,Blitum nuttallianum,,,Yukon
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Yukon
Astragalus americanus,Astragalus,Astragalus americanus,,,Yukon
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Saskatchewan
Bromus ciliatus,Bromus,Bromus ciliatus,,,Nova Scotia
Astragalus crassicarpus,Astragalus,Astragalus crassicarpus,,,Saskatchewan
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Quebec
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Manitoba
Astragalus drummondii,Astragalus,Astragalus drummondii,,,Alberta
Bromus ciliatus,Bromus,Bromus ciliatus,,,Saskatchewan
Balsamorhiza sagittata,Balsamorhiza,Balsamorhiza sagittata,,,Alberta
Astragalus spatulatus,Astragalus,Astragalus spatulatus,,,Saskatchewan
Bromus porteri,Bromus,Bromus porteri,,,Manitoba
Bromus inermis,Bromus,Bromus inermis,,,New Brunswick
Bromus ciliatus,Bromus,Bromus ciliatus,,,British Columbia
Blitum capitatum subsp. capitatum,Blitum,Blitum capitatum,subsp.,capitatum,Saskatchewan
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Newfoundland and Labrador
Astragalus bodinii,Astragalus,Astragalus bodinii,,,Yukon
Bromus ciliatus,Bromus,Bromus ciliatus,,,Manitoba
Betula occidentalis,Betula,Betula occidentalis,,,Yukon
Bromus inermis,Bromus,Bromus inermis,,,Northwest Territories
Betula papyrifera,Betula,Betula papyrifera,,,Newfoundland and Labrador
Bromus inermis,Bromus,Bromus inermis,,,Prince Edward Island
Betula occidentalis,Betula,Betula occidentalis,,,Alberta
Bromus kalmii,Bromus,Bromus kalmii,,,Manitoba
Astragalus pectinatus,Astragalus,Astragalus pectinatus,,,Alberta
Astragalus crassicarpus,Astragalus,Astragalus crassicarpus,,,Manitoba
Blitum capitatum subsp. capitatum,Blitum,Blitum capitatum,subsp.,capitatum,Northwest Territories
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Yukon
Astragalus flexuosus,Astragalus,Astragalus flexuosus,,,Saskatchewan
Calypso bulbosa,Calypso,Calypso bulbosa,,,Ontario
Betula populifolia,Betula,Betula populifolia,,,Prince Edward Island
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Northwest Territories
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Ontario
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Yukon
Camassia leichtlinii subsp. suksdorfii,Camassia,Camassia leichtlinii,subsp.,suksdorfii,British Columbia
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Saskatchewan
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Saskatchewan
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Northwest Territories
Astragalus gilviflorus,Astragalus,Astragalus gilviflorus,,,Alberta
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Manitoba
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Quebec
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Manitoba
Astragalus spatulatus,Astragalus,Astragalus spatulatus,,,Alberta
Camassia quamash subsp. maxima,Camassia,Camassia quamash,subsp.,maxima,British Columbia
Astragalus purshii,Astragalus,Astragalus purshii,,,Alberta
Astragalus flexuosus,Astragalus,Astragalus flexuosus,,,Alberta
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Ontario
Astragalus missouriensis,Astragalus,Astragalus missouriensis,,,Saskatchewan
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,New Brunswick
Astragalus flexuosus,Astragalus,Astragalus flexuosus,,,Manitoba
Betula occidentalis,Betula,Betula occidentalis,,,Manitoba
Bromus sitchensis,Bromus,Bromus sitchensis,,,Alberta
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,Manitoba
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Northwest Territories
Astragalus sclerocarpus,Astragalus,Astragalus sclerocarpus,,,British Columbia
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Manitoba
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,Alberta
Bromus ciliatus,Bromus,Bromus ciliatus,,,Quebec
Betula alleghaniensis,Betula,Betula alleghaniensis,,,Newfoundland and Labrador
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Newfoundland and Labrador
Bromus ciliatus,Bromus,Bromus ciliatus,,,Newfoundland and Labrador
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Alberta
Astragalus alpinus,Astragalus,Astragalus alpinus,,,Newfoundland and Labrador
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Prince Edward Island
Astragalus umbellatus,Astragalus,Astragalus umbellatus,,,Northwest Territories
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Northwest Territories
Bromus kalmii,Bromus,Bromus kalmii,,,Quebec
Astragalus canadensis var. canadensis,Astragalus,Astragalus canadensis,var.,canadensis,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Nova Scotia
Betula occidentalis,Betula,Betula occidentalis,,,Northwest Territories
Astragalus bodinii,Astragalus,Astragalus bodinii,,,Alberta
Betula occidentalis,Betula,Betula occidentalis,,,Saskatchewan
Astragalus purshii,Astragalus,Astragalus purshii,,,Saskatchewan
Astragalus purshii var. purshii,Astragalus,Astragalus purshii,var.,purshii,British Columbia
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,Saskatchewan
Astragalus americanus,Astragalus,Astragalus americanus,,,Ontario
Bromus inermis,Bromus,Bromus inermis,,,Newfoundland and Labrador
Betula occidentalis,Betula,Betula occidentalis,,,Ontario
Astragalus umbellatus,Astragalus,Astragalus umbellatus,,,British Columbia
Astragalus agrestis,Astragalus,Astragalus agrestis,,,Ontario
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Ontario
Betula papyrifera,Betula,Betula papyrifera,,,Northwest Territories
Astragalus americanus,Astragalus,Astragalus americanus,,,Saskatchewan
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Manitoba
Bromus ciliatus,Bromus,Bromus ciliatus,,,New Brunswick
Astragalus kentrophyta,Astragalus,Astragalus kentrophyta,,,Alberta
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,Yukon
Blitum capitatum subsp. capitatum,Blitum,Blitum capitatum,subsp.,capitatum,Yukon
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,British Columbia
Astragalus beckwithii,Astragalus,Astragalus beckwithii,,,British Columbia
Astragalus americanus,Astragalus,Astragalus americanus,,,Northwest Territories
Astragalus canadensis,Astragalus,Astragalus canadensis,,,Northwest Territories
Astragalus bourgovii,Astragalus,Astragalus bourgovii,,,Alberta
Caltha leptosepala,Caltha,Caltha leptosepala,,,Yukon
Astragalus robbinsii var. minor,Astragalus,Astragalus robbinsii,var.,minor,British Columbia
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,British Columbia
Betula papyrifera,Betula,Betula papyrifera,,,Yukon
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Quebec
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Quebec
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Newfoundland and Labrador
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Nunavut
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Nunavut
Bromus sitchensis,Bromus,Bromus sitchensis,,,British Columbia
Blitum capitatum,Blitum,Blitum capitatum,,,Quebec
Calypso bulbosa,Calypso,Calypso bulbosa,,,Yukon
Bromus anomalus,Bromus,Bromus anomalus,,,Alberta
Bromus porteri,Bromus,Bromus porteri,,,Alberta
Camassia quamash subsp. quamash,Camassia,Camassia quamash,subsp.,quamash,Alberta
Bromus anomalus,Bromus,Bromus anomalus,,,British Columbia
Astragalus miser,Astragalus,Astragalus miser,,,Alberta
Blitum capitatum subsp. capitatum,Blitum,Blitum capitatum,subsp.,capitatum,Alberta
Carya ovalis,Carya,Carya ovalis,,,Ontario
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Northwest Territories
Astragalus tenellus,Astragalus,Astragalus tenellus,,,British Columbia
Calypso bulbosa,Calypso,Calypso bulbosa,,,Northwest Territories
Astragalus vexilliflexus,Astragalus,Astragalus vexilliflexus,,,Saskatchewan
Astragalus robbinsii,Astragalus,Astragalus robbinsii,,,Alberta
Astragalus laxmannii var. robustior,Astragalus,Astragalus laxmannii,var.,robustior,Alberta
Astragalus missouriensis,Astragalus,Astragalus missouriensis,,,Manitoba
Betula occidentalis,Betula,Betula occidentalis,,,Nunavut
Astragalus robbinsii,Astragalus,Astragalus robbinsii,,,Nova Scotia
Astragalus robbinsii var. minor,Astragalus,Astragalus robbinsii,var.,minor,Nova Scotia
Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,Newfoundland and Labrador
Astragalus filipes,Astragalus,Astragalus filipes,,,British Columbia
Astragalus miser var. serotinus,Astragalus,Astragalus miser,var.,serotinus,British Columbia
Bromus ciliatus,Bromus,Bromus ciliatus,,,Northwest Territories
Astragalus bodinii,Astragalus,Astragalus bodinii,,,Newfoundland and Labrador
Astragalus tenellus,Astragalus,Astragalus tenellus,,,Ontario
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,British Columbia
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Yukon
Blitum nuttallianum,Blitum,Blitum nuttallianum,,,British Columbia
Astragalus miser var. serotinus,Astragalus,Astragalus miser,var.,serotinus,Alberta
Bromus porteri,Bromus,Bromus porteri,,,British Columbia
Astragalus lentiginosus var. salinus,Astragalus,Astragalus lentiginosus,var.,salinus,British Columbia
Astragalus canadensis var. brevidens,Astragalus,Astragalus canadensis,var.,brevidens,British Columbia
Astragalus robbinsii var. minor,Astragalus,Astragalus robbinsii,var.,minor,Yukon
Bromus ciliatus,Bromus,Bromus ciliatus,,,Yukon
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Quebec
Astragalus canadensis var. canadensis,Astragalus,Astragalus canadensis,var.,canadensis,British Columbia
Astragalus laxmannii var. robustior,Astragalus,Astragalus laxmannii,var.,robustior,British Columbia
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Alberta
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,British Columbia
Astragalus vexilliflexus var. vexilliflexus,Astragalus,Astragalus vexilliflexus,var.,vexilliflexus,British Columbia
Astragalus lentiginosus,Astragalus,Astragalus lentiginosus,,,British Columbia
Astragalus beckwithii var. weiserensis,Astragalus,Astragalus beckwithii,var.,weiserensis,British Columbia
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Ontario
Astragalus purshii var. glareosus,Astragalus,Astragalus purshii,var.,glareosus,British Columbia
Astragalus lotiflorus,Astragalus,Astragalus lotiflorus,,,British Columbia
Astragalus collinus var. collinus,Astragalus,Astragalus collinus,var.,collinus,British Columbia
Astragalus canadensis var. mortonii,Astragalus,Astragalus canadensis,var.,mortonii,British Columbia
Bromus sitchensis var. aleutensis,Bromus,Bromus sitchensis,var.,aleutensis,British Columbia
Bromus sitchensis var. sitchensis,Bromus,Bromus sitchensis,var.,sitchensis,British Columbia
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Saskatchewan
Bromus anomalus,Bromus,Bromus anomalus,,,Ontario
Astragalus bodinii,Astragalus,Astragalus bodinii,,,Northwest Territories
Astragalus purshii var. purshii,Astragalus,Astragalus purshii,var.,purshii,Saskatchewan
Astragalus robbinsii var. minor,Astragalus,Astragalus robbinsii,var.,minor,Alberta
Astragalus vexilliflexus var. vexilliflexus,Astragalus,Astragalus vexilliflexus,var.,vexilliflexus,Alberta
Astragalus bisulcatus var. bisulcatus,Astragalus,Astragalus bisulcatus,var.,bisulcatus,Alberta
Astragalus lotiflorus,Astragalus,Astragalus lotiflorus,,,Alberta
Astragalus bisulcatus var. bisulcatus,Astragalus,Astragalus bisulcatus,var.,bisulcatus,Saskatchewan
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Northwest Territories
Astragalus laxmannii var. robustior,Astragalus,Astragalus laxmannii,var.,robustior,Yukon
Astragalus canadensis var. canadensis,Astragalus,Astragalus canadensis,var.,canadensis,Northwest Territories
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Alberta
Astragalus alpinus var. brunetianus,Astragalus,Astragalus alpinus,var.,brunetianus,Quebec
Astragalus laxmannii var. tananaicus,Astragalus,Astragalus laxmannii,var.,tananaicus,Yukon
Astragalus umbellatus,Astragalus,Astragalus umbellatus,,,Nunavut
Astragalus canadensis var. canadensis,Astragalus,Astragalus canadensis,var.,canadensis,Alberta
Astragalus crassicarpus var. crassicarpus,Astragalus,Astragalus crassicarpus,var.,crassicarpus,Alberta
Astragalus bisulcatus var. bisulcatus,Astragalus,Astragalus bisulcatus,var.,bisulcatus,Manitoba
Astragalus eucosmus,Astragalus,Astragalus eucosmus,,,Alberta
Astragalus alpinus var. alpinus,Astragalus,Astragalus alpinus,var.,alpinus,Yukon
Calamagrostis canadensis,Calamagrostis,Calamagrostis canadensis,,,Nunavut
Astragalus laxmannii var. robustior,Astragalus,Astragalus laxmannii,var.,robustior,Northwest Territories
Astragalus kentrophyta,Astragalus,Astragalus kentrophyta,,,Saskatchewan
Astragalus laxmannii,Astragalus,Astragalus laxmannii,,,Northwest Territories
Astragalus racemosus,Astragalus,Astragalus racemosus,,,Saskatchewan
Bromus ciliatus,Bromus,Bromus ciliatus,,,Prince Edward Island
Calamagrostis canadensis var. canadensis,Calamagrostis,Calamagrostis canadensis,var.,canadensis,Northwest Territories
Astragalus crassicarpus var. crassicarpus,Astragalus,Astragalus crassicarpus,var.,crassicarpus,Manitoba
Calypso bulbosa,Calypso,Calypso bulbosa,,,Quebec
Betula papyrifera,Betula,Betula papyrifera,,,Nunavut
Astragalus laxmannii var. robustior,Astragalus,Astragalus laxmannii,var.,robustior,Manitoba
Bromus anomalus,Bromus,Bromus anomalus,,,Manitoba
Astragalus robbinsii var. fernaldii,Astragalus,Astragalus robbinsii,var.,fernaldii,Ontario
Astragalus bisulcatus,Astragalus,Astragalus bisulcatus,,,Manitoba
