"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"369","Crataegus intricata","Hawthorn","Crataegus","Crataegus intricata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",14,0,14
"370","Crataegus pennsylvanica","Hawthorn","Crataegus","Crataegus pennsylvanica",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",1,0,1
"371","Ribes uva-crispa","Currant, Gooseberry","Ribes","Ribes uva-crispa",NA,NA,"Y","Y","Y","fruit","N","","Food",NA,"Fruits","","",NA,1,"Progenitor","1A","","","","","","","","","","","CANADENSYS 2021","","",120,5,115
"372","Ribes acerifolium","Currant, Gooseberry","Ribes","Ribes acerifolium",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","CANADENSYS 2021","","",2,0,2
"373","Amelanchier pumila","Saskatoon","Amelanchier","Amelanchier pumila",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"374","Arctous rubra","Bearberry","Arctous","Arctous rubra",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"375","Claytonia megarhiza","Spring-beauty","Claytonia","Claytonia megarhiza",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"376","Clinopodium douglasii","Yerba buena","Clinopodium","Clinopodium douglasii",NA,NA,"Y","N","Y","leaves for tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"377","Conioselinum gmelinii","Hemlock-parsley","Conioselinum","Conioselinum gmelinii",NA,NA,"Y","N","Y","wild carrot","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"378","Cornus suecica","Dogwood","Cornus","Cornus suecica",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","Forest Resources",NA,NA,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"379","Crataegus aquacervensis","Hawthorn","Crataegus","Crataegus aquacervensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"380","Crataegus atrovirens","Hawthorn","Crataegus","Crataegus atrovirens",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"381","Crataegus beata","Hawthorn","Crataegus","Crataegus beata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"382","Crataegus brainerdii","Hawthorn","Crataegus","Crataegus brainerdii",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"383","Crataegus canadensis","Hawthorn","Crataegus","Crataegus canadensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"384","Crataegus castlegarensis","Hawthorn","Crataegus","Crataegus castlegarensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"385","Crataegus cognata","Hawthorn","Crataegus","Crataegus cognata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"386","Crataegus compacta","Hawthorn","Crataegus","Crataegus compacta",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"387","Crataegus cupressocollina","Hawthorn","Crataegus","Crataegus cupressocollina",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"388","Crataegus dodgei","Hawthorn","Crataegus","Crataegus dodgei",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"389","Crataegus enderbyensis","Hawthorn","Crataegus","Crataegus enderbyensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"390","Crataegus florifera","Hawthorn","Crataegus","Crataegus florifera",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"391","Crataegus fluviatilis","Hawthorn","Crataegus","Crataegus fluviatilis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"392","Crataegus formosa","Hawthorn","Crataegus","Crataegus formosa",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"393","Crataegus gaylussacia","Hawthorn","Crataegus","Crataegus gaylussacia",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"394","Crataegus holmesiana","Hawthorn","Crataegus","Crataegus holmesiana",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"395","Crataegus irrasa","Hawthorn","Crataegus","Crataegus irrasa",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"396","Crataegus jesupii","Hawthorn","Crataegus","Crataegus jesupii",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"397","Crataegus jonesiae","Hawthorn","Crataegus","Crataegus jonesiae",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"398","Crataegus knieskerniana","Hawthorn","Crataegus","Crataegus knieskerniana",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"399","Crataegus laevigata","Hawthorn","Crataegus","Crataegus laevigata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"400","Crataegus lemingtonensis","Hawthorn","Crataegus","Crataegus lemingtonensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"401","Crataegus lumaria","Hawthorn","Crataegus","Crataegus lumaria",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"402","Crataegus macracantha","Hawthorn","Crataegus","Crataegus macracantha",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"403","Crataegus magniflora","Hawthorn","Crataegus","Crataegus magniflora",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"404","Crataegus margarettae","Hawthorn","Crataegus","Crataegus margarettae",NA,NA,"N","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"405","Crataegus nitidula","Hawthorn","Crataegus","Crataegus nitidula",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"406","Crataegus okanaganensis","Hawthorn","Crataegus","Crataegus okanaganensis",NA,NA,"N","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"407","Crataegus okennonii","Hawthorn","Crataegus","Crataegus okennonii",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"408","Crataegus orbicularis","Hawthorn","Crataegus","Crataegus orbicularis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"409","Crataegus perjucunda","Hawthorn","Crataegus","Crataegus perjucunda",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"410","Crataegus persimilis","Hawthorn","Crataegus","Crataegus persimilis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"411","Crataegus phippsii","Hawthorn","Crataegus","Crataegus phippsii",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"412","Crataegus populnea","Hawthorn","Crataegus","Crataegus populnea",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"413","Crataegus prona","Hawthorn","Crataegus","Crataegus prona",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"414","Crataegus purpurella","Hawthorn","Crataegus","Crataegus purpurella",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"415","Crataegus rivuloadamensis","Hawthorn","Crataegus","Crataegus rivuloadamensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"416","Crataegus rivulopugnensis","Hawthorn","Crataegus","Crataegus rivulopugnensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"417","Crataegus rubribracteolata","Hawthorn","Crataegus","Crataegus rubribracteolata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"418","Crataegus scabrida","Hawthorn","Crataegus","Crataegus scabrida",NA,NA,"N","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"419","Crataegus sheila-phippsiae","Hawthorn","Crataegus","Crataegus sheila-phippsiae",NA,NA,"N","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"420","Crataegus sheridana","Hawthorn","Crataegus","Crataegus sheridana",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"421","Crataegus shuswapensis","Hawthorn","Crataegus","Crataegus shuswapensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"422","Crataegus stolonifera","Hawthorn","Crataegus","Crataegus stolonifera",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"423","Crataegus suborbiculata","Hawthorn","Crataegus","Crataegus suborbiculata",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"424","Crataegus ursopedensis","Hawthorn","Crataegus","Crataegus ursopedensis",NA,NA,"Y","Y","Y","berries edible","Y","Food","Forest Resources",NA,"Fruits","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","CANADENSYS 2021","","Kuhnlein and Turner 2020",0,0,0
"425","Heuchera chlorantha","Heuchera","Heuchera","Heuchera chlorantha",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"426","Lomatium geyeri","Biscuitroot","Lomatium","Lomatium geyeri",NA,NA,"Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"427","Lupinus depressus","Lupin","Lupinus","Lupinus depressus",NA,NA,"Y","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","CANADENSYS 2025","","",0,0,0
"428","Lupinus kuschei","Lupin","Lupinus","Lupinus kuschei",NA,NA,"Y","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","CANADENSYS 2026","","",0,0,0
"429","Lupinus oreganus","Lupin","Lupinus","Lupinus oreganus",NA,NA,"Y","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","CANADENSYS 2031","","",0,0,0
"430","Melica bulbosa","Onion grass","Melica","Melica bulbosa",NA,NA,"Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"431","Nuphar polysepala","Water-lily","Nuphar","Nuphar polysepala",NA,NA,"Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"432","Panax trifolius","Ginseng","Panax","Panax trifolius",NA,NA,"Y","N","Y","roots as tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"433","Rhododendron columbianum","Labrador-tea","Rhododendron","Rhododendron columbianum",NA,NA,"Y","N","Y","tea","Y","","Medicinals",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"434","Rorippa aquatica","Horseradish","Rorippa","Rorippa aquatica",NA,NA,"Y","N","Y","horseradish; condiment","Y","","Food",NA,"Herbs and Spices","","",NA,2,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"435","Rubus paracaulis","Blackberry, Raspberry","Rubus","Rubus paracaulis",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"436","Rubus recurvicaulis","Blackberry, Raspberry","Rubus","Rubus recurvicaulis",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"437","Rumex occidentalis","Dock","Rumex","Rumex occidentalis",NA,NA,"Y","N","Y","","Y","","Food",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"438","Salix pulchra","Willow","Salix","Salix pulchra",NA,NA,"Y","Y","Y","buds, leaves, shoots","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"439","Salix reticulata","Willow","Salix","Salix reticulata",NA,NA,"Y","Y","Y","greens","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"440","Salix richardsonii","Willow","Salix","Salix richardsonii",NA,NA,"Y","Y","Y","buds, leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",0,0,0
"441","Vaccinium nubigenum","Blueberry, Cranberry","Vaccinium","Vaccinium nubigenum",NA,NA,"Y","Y","Y","newfoundland bilberry; fruits","Y","Food","",NA,"Fruits","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
"442","Vicia caroliniana","Vetch","Vicia","Vicia caroliniana",NA,NA,"Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","CANADENSYS","","",0,0,0
"443","Vicia nigricans","Vetch","Vicia","Vicia nigricans",NA,NA,"N","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",0,0,0
