TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Hordeum pusillum,Hordeum pusillum,1,Y,N,,Y,G5,NH,DD - Data Deficient  (DD) / Données insuffisantes (DI),8,0,8,0,0,0,Barley,Hordeum,NA,NA,,N,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Hosackia gracilis,Hosackia gracilis,2,Y,N,,Y,G4,N2,E - Endangered (E) / En voie de disparition (VD),4,3,1,0,0,0,Trefoil,Hosackia,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Hosackia pinnata,Hosackia pinnata,2,Y,N,,Y,G4,N2,E - Endangered (E) / En voie de disparition (VD),0,0,0,0,0,0,Trefoil,Hosackia,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Humulus lupulus,Humulus lupulus,1,Y,Y,Y,N,G5,N5,,164,10,154,4,0,4,Hops,Humulus,NA,NA,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,Primary,1A
Humulus lupulus var. lupuloides,Humulus lupulus,1,Y,Y,Y,Y,T5,N5,,164,10,154,4,0,4,Hops,Humulus,var.,lupuloides,"hops; greens edible, flowers in beer brewing",Y,Food,,NA,Herbs and Spices,,,NA,Primary,1A
Ilex mucronata,Ilex mucronata,2,Y,N,,Y,G5,N5,,18,2,16,13,2,11,Winterberry,Ilex,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Ilex verticillata,Ilex verticillata,2,Y,N,,Y,G5,N5,,221,163,58,41,32,9,Winterberry,Ilex,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Juglans cinerea,Juglans cinerea,1,Y,Y,,Y,G3,N2,E - Endangered (E) / En voie de disparition (VD),85,47,38,42,42,0,Walnut,Juglans,NA,NA,butternut; nut,Y,Food,Materials,NA,Nuts,Materials,,NA,Tertiary,1C
Juglans nigra,Juglans nigra,1,Y,Y,,Y,G5,N4,,134,123,11,106,106,0,Walnut,Juglans,NA,NA,black walnut; nut,Y,Food,Materials,NA,Nuts,Materials,Ornamentals,NA,Progenitor,1A
Juniperus communis,Juniperus communis,NA,N,Y,N,N,G5,N5,,110,60,50,11,6,5,Juniper,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus communis var. charlottensis,Juniperus communis,NA,N,Y,N,Y,T3,N3,,110,60,50,NA,NA,NA,Juniper,Juniperus,var.,charlottensis,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus communis var. depressa,Juniperus communis,NA,N,Y,N,Y,T5,N5,,110,60,50,NA,NA,NA,Juniper,Juniperus,var.,depressa,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus communis var. megistocarpa,Juniperus communis,NA,N,Y,N,Y,T3,N3,,110,60,50,NA,NA,NA,Juniper,Juniperus,var.,megistocarpa,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus communis var. saxatilis,Juniperus communis,NA,N,Y,N,Y,T5,N5,,110,60,50,NA,NA,NA,Juniper,Juniperus,var.,saxatilis,,Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus horizontalis,Juniperus horizontalis,NA,N,Y,,Y,G5,N5,,71,66,5,12,12,0,Juniper,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Juniperus scopulorum,Juniperus scopulorum,NA,N,Y,,Y,G5,N4,,118,39,79,11,8,3,Juniper,Juniperus,NA,NA,"tea, leaves and shoots edible",Y,Medicinals,Food,NA,Medicinals,Vegetables,,NA,NA,NA
Kalmia angustifolia,Kalmia angustifolia,NA,N,Y,Y,N,G5,N5,,1,0,1,1,0,1,Mountain-laurel,Kalmia,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Kalmia angustifolia var. angustifolia,Kalmia angustifolia,NA,N,Y,Y,Y,T5,N5,,1,0,1,1,0,1,Mountain-laurel,Kalmia,var.,angustifolia,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Kalmia microphylla,Kalmia microphylla,NA,N,Y,Y,N,G5,N5,,7,5,2,0,0,0,Mountain-laurel,Kalmia,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Kalmia microphylla var. microphylla,Kalmia microphylla,NA,N,Y,Y,Y,T5,N4,,7,5,2,0,0,0,Mountain-laurel,Kalmia,var.,microphylla,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Kalmia microphylla var. occidentalis,Kalmia microphylla,NA,N,Y,Y,Y,TNR,N5,,7,5,2,0,0,0,Mountain-laurel,Kalmia,var.,occidentalis,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Lactuca tatarica,Lactuca tatarica,1,Y,Y,Y,N,G5,NNR,,1,0,1,0,0,0,Lettuce,Lactuca,NA,NA,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Lactuca tatarica subsp. pulchella,Lactuca tatarica,1,Y,Y,Y,Y,NA,NA,,1,0,1,0,0,0,Lettuce,Lactuca,subsp.,pulchella,wilde lettuce; greens,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Larix laricina,Larix laricina,2,Y,N,,Y,G5,N5,,478,364,114,193,82,111,Larch,Larix,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Larix lyallii,Larix lyallii,2,Y,N,,Y,G5,N5,,1,1,0,0,0,0,Larch,Larix,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Larix occidentalis,Larix occidentalis,2,Y,Y,,Y,G5,N5,,17,2,15,14,2,12,Larch,Larix,NA,NA,"western larch; gum, inner bark, sap",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Lathyrus japonicus,Lathyrus japonicus,2,Y,Y,,Y,G5,N5,,9,0,9,0,0,0,Lathyrus,Lathyrus,NA,NA,beach pea; seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus lanszwertii,Lathyrus lanszwertii,2,Y,N,Y,N,G4,N2,,0,0,0,0,0,0,Lathyrus,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus lanszwertii var. bijugatus,Lathyrus lanszwertii,2,Y,N,Y,Y,G4,N1,,0,0,0,0,0,0,Lathyrus,Lathyrus,var.,bijugatus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus littoralis,Lathyrus littoralis,2,Y,N,,Y,G3,N2,T - Threatened (T) / Mecée (M),1,0,1,0,0,0,Lathyrus,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus nevadensis,Lathyrus nevadensis,2,Y,N,Y,N,G5,N5,,1,0,1,0,0,0,Lathyrus,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus nevadensis var. nevadensis,Lathyrus nevadensis,2,Y,N,Y,Y,T5,N5,BC(S5),1,0,1,0,0,0,Lathyrus,Lathyrus,var.,nevadensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus palustris,Lathyrus palustris,2,Y,Y,,Y,G5,N5,,1,0,1,0,0,0,Lathyrus,Lathyrus,NA,NA,marsh vetchling; seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus venosus,Lathyrus venosus,2,Y,N,,N,G5,N5,,1,0,1,1,0,1,Lathyrus,Lathyrus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Lathyrus venosus var. intonsus,Lathyrus venosus,2,Y,N,,Y,T5,N5,,1,0,1,0,0,0,Lathyrus,Lathyrus,var.,intonsus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Leymus cinereus,Leymus cinereus,1,Y,Y,,Y,G5,N5,,379,1,378,23,0,23,Wheat,Leymus,NA,NA,wild rye grass; grains,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Leymus innovatus,Leymus innovatus,1,Y,N,N,N,G5,N5,,13,0,13,1,0,1,Wheat,Leymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Leymus innovatus subsp. innovatus,Leymus innovatus,1,Y,N,N,Y,T5,N5,,13,0,13,NA,NA,NA,Wheat,Leymus,subsp.,innovatus,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Leymus innovatus subsp. velutinus,Leymus innovatus,1,Y,N,N,Y,TNR,NNR,,13,0,13,NA,NA,NA,Wheat,Leymus,subsp.,velutinus,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Leymus mollis,Leymus mollis,1,Y,Y,N,N,G5,N5,,346,1,345,206,1,205,Wheat,Leymus,NA,NA,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary,1C
Leymus mollis subsp. mollis,Leymus mollis,1,Y,Y,N,Y,T5,N5,,346,1,345,NA,NA,NA,Wheat,Leymus,subsp.,mollis,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary,1C
Leymus mollis subsp. villosissimus,Leymus mollis,1,Y,Y,N,Y,TNR,N4,,346,1,345,NA,NA,NA,Wheat,Leymus,subsp.,villosissimus,wild rye grass; grains,Y,Food,,Food,Cereals and pseudocereals,,,Cereals and pseudocereals,Tertiary,1C
Leymus triticoides,Leymus triticoides,1,Y,N,,Y,G4,NNA,,20,0,20,0,0,0,Wheat,Leymus,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Lilium columbianum,Lilium columbianum,NA,N,Y,,Y,G5,N5,,17,10,7,3,2,1,Lily,Lilium,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lindera benzoin,Lindera benzion,2,Y,N,,Y,G5,N4,,63,32,31,15,11,4,Spicebush,Lindera,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Linum compactum,Linum compactum,1,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum lewisii,Linum lewisii,1,Y,N,Y,N,G5,N5,,68,5,63,3,0,3,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary,1C
Linum lewisii var. lepagei,Linum lewisii,1,Y,N,Y,Y,T3,N3,,68,5,63,0,0,0,Flax,Linum,var.,lepagei,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary,1C
Linum lewisii var. lewisii,Linum lewisii,1,Y,N,Y,Y,T5,N5,,68,5,63,3,0,3,Flax,Linum,var.,lewisii,,Y,Food,Materials,NA,Oils,Materials,,NA,Tertiary,1C
Linum medium,Linum medium,1,Y,N,Y,N,G5,N3,,0,0,0,0,0,0,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum medium var. medium,Linum medium,1,Y,N,Y,Y,T3,N3,,0,0,0,0,0,0,Flax,Linum,var.,medium,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum medium var. texanum,Linum medium,1,Y,N,Y,Y,T5,N1,,0,0,0,0,0,0,Flax,Linum,var.,texanum,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum perenne,Linum perenne,1,Y,Y,,Y,GNR,NNA,,20,2,18,0,0,0,Flax,Linum,NA,NA,seeds,N,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum rigidum,Linum rigidum,1,Y,N,,Y,G5,N5,,3,0,3,1,0,1,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum striatum,Linum striatum,1,Y,N,,Y,G5,N1,,0,0,0,0,0,0,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum sulcatum,Linum sulcatum,1,Y,N,,Y,G5,N3,,3,0,3,0,0,0,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Linum usitatissimum,Linum usitatissimum,1,Y,N,,Y,GNR,NNA,,6337,0,6337,47,0,47,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Progenitor,1A
Linum virginianum,Linum virginianum,1,Y,N,,Y,G4,N2,,0,0,0,0,0,0,Flax,Linum,NA,NA,,Y,Food,Materials,NA,Oils,Materials,,NA,Assume distant,1C
Lomatium ambiguum,Lomatium ambiguum,NA,N,Y,,Y,G4,N5,,5,0,5,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium cous,Lomatium cous,NA,N,Y,,Y,G5,N1,,4,0,4,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium dissectum,Lomatium dissectum,NA,N,Y,,Y,G4,NNR,,72,2,70,2,2,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium foeniculaceum,Lomatium foeniculaceum,NA,N,Y,Y,N,G5,N5,,15,0,15,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium foeniculaceum subsp. foeniculaceum,Lomatium foeniculaceum,NA,N,Y,Y,Y,G5,N5,,15,0,15,0,0,0,Biscuitroot,Lomatium,subsp.,foeniculaceum,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium geyeri,Lomatium geyeri,NA,N,Y,,Y,G4,N5,,0,0,0,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium macrocarpum,Lomatium macrocarpum,NA,N,Y,,Y,G5,N5,,18,1,17,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium nudicaule,Lomatium nudicaule,NA,N,Y,,Y,G5,N4,,37,5,32,3,3,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium triternatum,Lomatium triternatum,NA,N,Y,,Y,G5,N4,,49,2,47,0,0,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lomatium utriculatum,Lomatium utriculatum,NA,N,Y,,Y,G5,N5,,14,6,8,4,4,0,Biscuitroot,Lomatium,NA,NA,roots,Y,Food,,NA,Vegetables,,,NA,NA,NA
Lonicera canadensis,Lonicera canadensis,2,Y,N,,Y,G5,N5,,11,10,1,9,8,1,Honeysuckle,Lonicera,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Lonicera ciliosa,Lonicera ciliosa,NA,N,Y,,Y,G5,N5,,16,11,5,8,8,0,Honeysuckle,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Lonicera involucrata,Lonicera involucrata,NA,N,Y,Y,N,G5,N5,,13,9,4,1,1,0,Honeysuckle,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Lonicera involucrata var. involucrata,Lonicera involucrata,NA,N,Y,Y,Y,T4,N5,,13,9,4,1,1,0,Honeysuckle,Lonicera,var.,involucrata,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Lonicera utahensis,Lonicera utahensis,NA,N,Y,,Y,G5,N5,,1,1,0,1,1,0,Honeysuckle,Lonicera,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Lupinus arbustus,Lupinus arbustus,1,Y,Y,,Y,G5,NNA,,16,0,16,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus arcticus,Lupinus arcticus,1,Y,Y,,Y,G5,N5,,5,2,3,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus argenteus,Lupinus argenteus,1,Y,Y,,Y,G5,N4,,51,0,51,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus bicolor,Lupinus bicolor,1,Y,Y,,Y,G5,N5,,24,0,24,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus depressus,Lupinus depressus,1,Y,Y,,Y,G4,NNA,,0,0,0,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus kuschei,Lupinus kuschei,1,Y,Y,,Y,G4,N4,,0,0,0,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus latifolius,Lupinus latifolius,1,Y,Y,,Y,G5,N5,,8,0,8,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus lepidus,Lupinus lepidus,1,Y,Y,,Y,G5,N2,,2,0,2,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus leucophyllus,Lupinus leucophyllus,1,Y,Y,,Y,G5,NNA,,58,0,58,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus littoralis,Lupinus littoralis,1,Y,Y,,Y,G5,N5,,9,2,7,0,0,0,Lupin,Lupinus,NA,NA,,Y,Food,,NA,Pulses,,,NA,Assume distant,1C
Lupinus microcarpus,Lupinus microcarpus,1,Y,Y,,Y,GNR,NNR,,10,3,7,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus nootkatensis,Lupinus nootkatensis,1,Y,Y,Y,N,G5,N5,,22,1,21,0,0,0,Lupin,Lupinus,NA,NA,,Y,Food,,NA,Pulses,,,NA,Assume distant,1C
Lupinus nootkatensis var. nootkatensis,Lupinus nootkatensis,1,Y,Y,Y,Y,T5,N5,,22,1,21,0,0,0,Lupin,Lupinus,var.,nootkatensis,,Y,Food,,NA,Pulses,,,NA,Assume distant,1C
Lupinus oreganus,Lupinus oreganus,1,Y,Y,,Y,G4,NX,,0,0,0,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus perennis,Lupinus perennis,1,Y,Y,,Y,G5,N2,,11,0,11,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus polyphyllus,Lupinus polyphyllus,1,Y,Y,N,N,G5,N5,,109,10,99,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Progenitor,1A
Lupinus polyphyllus var. burkei,Lupinus polyphyllus,1,Y,Y,N,Y,G5,N5,,109,10,99,NA,NA,NA,Lupin,Lupinus,var.,burkei,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Progenitor,1A
Lupinus polyphyllus var. polyphyllus,Lupinus polyphyllus,1,Y,Y,N,Y,T4,NNR,,109,10,99,NA,NA,NA,Lupin,Lupinus,var.,polyphyllus,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Progenitor,1A
Lupinus pusillus,Lupinus pusillus,1,Y,Y,,Y,G5,N3,,6,0,6,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus rivularis,Lupinus rivularis,1,Y,Y,,Y,G3,N1,,12,1,11,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus sericeus,Lupinus sericeus,1,Y,Y,,Y,G5,N5,,63,0,63,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lupinus sulphureus,Lupinus sulphureus,1,Y,Y,,Y,G5,N3,,12,0,12,0,0,0,Lupin,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant,1C
Lysichiton americanus,Lysichiton americanus,NA,N,Y,,Y,G5,N5,,11,10,1,1,1,0,Skunk Cabbage,Lysichiton,NA,NA,,Y,Food,Ornamentals,NA,Vegetables,Medicinals,,NA,NA,NA
Magnolia acuminata,Magnolia acuminata,2,Y,N,,Y,G5,N2,E - Endangered (E) / En voie de disparition (VD),71,48,23,39,37,2,Magnolia,Magnolia,NA,NA,,Y,Ornamentals,,NA,Ornamentals,,,NA,NA,2
Mahonia aquifolium,Mahonia aquifolium,NA,N,Y,,Y,G5,N5,,32,24,8,0,0,0,Barberry,Mahonia,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Mahonia nervosa,Mahonia nervosa,NA,N,Y,,Y,G5,N5,,22,18,4,0,0,0,Barberry,Mahonia,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Mahonia repens,Mahonia repens,NA,N,Y,,Y,G5,N4,,29,12,17,0,0,0,Barberry,Mahonia,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Maianthemum dilatatum,Maianthemum dilatatum,NA,N,Y,,Y,G5,N5,,12,8,4,3,3,0,Maianthemum,Maianthemum,NA,NA,,Y,Food,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Maianthemum racemosum,Maianthemum racemosum,NA,N,Y,,Y,G5,NNR,,33,29,4,5,5,0,Maianthemum,Maianthemum,NA,NA,,Y,Food,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Maianthemum stellatum,Maianthemum stellatum,NA,N,Y,,Y,G5,N5,,17,15,2,7,7,0,Maianthemum,Maianthemum,NA,NA,,Y,Food,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Malus coronaria,Malus coronaria,1,Y,Y,,Y,G5,NNR,,159,8,151,5,4,1,Apple,Malus,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Malus fusca,Malus fusca,1,Y,Y,,Y,G5,N5,,254,10,244,13,10,3,Apple,Malus,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1A
Melica bulbosa,Melica bulbosa,NA,N,Y,,Y,G5,N4,,0,0,0,0,0,0,Onion grass,Melica,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Melica subulata,Melica subulata,NA,N,Y,,Y,G5,N5,,4,3,1,2,2,0,Onion grass,Melica,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Mentha canadensis,Mentha canadensis,1,Y,Y,,Y,G5,NNR,,49,2,47,4,0,4,Mint,Mentha,NA,NA,"leaves, tea, essential oil",Y,Food,Medicinals,NA,Herbs and Spices,Medicinals,,NA,Secondary,1B
Mitchella repens,Mitchella repens,NA,N,Y,,Y,G5,N5,,16,9,7,2,2,0,Partidge berry,Mitchella,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Monarda fistulosa,Monarda fistulosa,2,Y,Y,N,N,G5,N5,,101,19,82,8,3,5,Monarda,Monarda,NA,NA,"leaves, tea",Y,Ornamentals,Medicinals,NA,Ornamentals,Medicinals,,NA,NA,2
Monarda fistulosa var. fistulosa,Monarda fistulosa,2,Y,Y,N,Y,T5,N5,,101,19,82,NA,NA,NA,Monarda,Monarda,var.,fistulosa,"leaves, tea",Y,Ornamentals,Medicinals,NA,Ornamentals,Medicinals,,NA,NA,2
Monarda fistulosa var. menthifolia,Monarda fistulosa,2,Y,Y,N,Y,T5,NNR,,101,19,82,NA,NA,NA,Monarda,Monarda,var.,menthifolia,"leaves, tea",Y,Ornamentals,Medicinals,NA,Ornamentals,Medicinals,,NA,NA,2
Monotropa uniflora,Monotropa uniflora,NA,N,Y,,Y,G5,N5,,1,1,0,0,0,0,Ghost-pipe,Monotropa,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Morella pensylvanica,Morella pensylvanica,NA,N,Y,,Y,G5,N5,,32,16,16,3,3,0,Bayberry,Morella,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Morus rubra,Morus rubra,2,Y,Y,,Y,G5,N2,E - Endangered (E) / En voie de disparition (VD),17,14,3,13,13,0,Mulberry,Morus,NA,NA,mulberry; fruit,Y,Food,,NA,Fruits,,,NA,NA,2
Myrica gale,Myrica gale,NA,N,Y,,Y,G5,N5,,26,21,5,7,6,1,Bayberry,Myrica,NA,NA,"fruit, leaves",Y,Food,,NA,Fruits,,,NA,NA,NA
Nicotiana attenuata,Nicotiana attenuata,1,Y,N,,Y,G4,NU,,37,0,37,0,0,0,Tobacco,Nicotiana,NA,NA,,Y,Food,Medicinals,NA,Herbs and Spices,Medicinals,,NA,Tertiary,1C
Nuphar polysepala,Nuphar polysepala,NA,N,Y,,Y,T5,N5,,0,0,0,0,0,0,Water-lily,Nuphar,NA,NA,,Y,Food,Medicinals,NA,Vegetables,Medicinals,,NA,NA,NA
Nymphaea tetragona,Nymphaea tetragona,2,Y,N,,Y,G5,N3,,4,4,0,0,0,0,Water-lily,Nymphaea,NA,NA,,Y,Ornamentals,,NA,Ornamentals,,,NA,NA,2
Oemleria cerasiformis,Oemleria cerasiformis,NA,N,Y,,Y,G5,N5,,20,19,1,11,11,0,Oso,Oemleria,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,NA,NA
Oenanthe sarmentosa,Oenanthe sarmentosa,NA,N,Y,,Y,G5,N5,,2,2,0,0,0,0,Water-parsley,Oenanthe,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Oplopanax horridus,Oplopanax horridus,NA,N,Y,,Y,G5,N5,,12,8,4,6,6,0,Devils-club,Oplopanax,NA,NA,,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
