"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"93","Asimina triloba","y","y",NA,"Pawpaw","Y","N","Y","pawpaw' or custard apple","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Asimina","Asimina triloba",NA,NA
"94","Astragalus agrestis","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus agrestis",NA,NA
"95","Astragalus alpinus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus alpinus",NA,NA
"96","Astragalus alpinus var. alpinus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus alpinus","var.","alpinus"
"97","Astragalus alpinus var. brunetianus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus alpinus","var.","brunetianus"
"98","Astragalus americanus","y","y",NA,"Milk-vetch","Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus americanus",NA,NA
"99","Astragalus beckwithii","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus beckwithii",NA,NA
"100","Astragalus beckwithii var. weiserensis","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus beckwithii","var.","weiserensis"
"101","Astragalus bisulcatus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus bisulcatus",NA,NA
"102","Astragalus bisulcatus var. bisulcatus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus bisulcatus","var.","bisulcatus"
"103","Astragalus bodinii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus bodinii",NA,NA
"104","Astragalus bourgovii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus bourgovii",NA,NA
"105","Astragalus canadensis","y","y",NA,"Milk-vetch","N","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus canadensis",NA,NA
"106","Astragalus canadensis var. brevidens","y","y",NA,"Milk-vetch","Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus canadensis","var.","brevidens"
"107","Astragalus canadensis var. canadensis","y","y",NA,"Milk-vetch","Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus canadensis","var.","canadensis"
"108","Astragalus canadensis var. mortonii","y","y",NA,"Milk-vetch","Y","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus canadensis","var.","mortonii"
"109","Astragalus collinus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus collinus",NA,NA
"110","Astragalus collinus var. collinus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus collinus","var.","collinus"
"111","Astragalus crassicarpus","y","y",NA,"Milk-vetch","N","Y","Y","unripe pods and seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus crassicarpus",NA,NA
"112","Astragalus crassicarpus var. crassicarpus","y","y",NA,"Milk-vetch","Y","Y","Y","unripe pods and seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus crassicarpus","var.","crassicarpus"
"113","Astragalus drummondii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus drummondii",NA,NA
"114","Astragalus eucosmus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus eucosmus",NA,NA
"115","Astragalus filipes","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus filipes",NA,NA
"116","Astragalus flexuosus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus flexuosus",NA,NA
"117","Astragalus gilviflorus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus gilviflorus",NA,NA
"118","Astragalus gilviflorus var. gilviflorus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus gilviflorus","var.","gilviflorus"
"119","Astragalus kentrophyta","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus kentrophyta",NA,NA
"120","Astragalus kentrophyta var. kentrophyta","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus kentrophyta","var.","kentrophyta"
"121","Astragalus laxmannii","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus laxmannii",NA,NA
"122","Astragalus laxmannii var. robustior","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus laxmannii","var.","robustior"
"123","Astragalus laxmannii var. tananaicus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus laxmannii","var.","tananaicus"
"124","Astragalus lentiginosus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus lentiginosus",NA,NA
"125","Astragalus lentiginosus var. salinus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus lentiginosus","var.","salinus"
"126","Astragalus lotiflorus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus lotiflorus",NA,NA
"127","Astragalus microcystis","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus microcystis",NA,NA
"128","Astragalus miser","y","y",NA,"Milk-vetch","N","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus miser",NA,NA
"129","Astragalus miser var. serotinus","y","y",NA,"Milk-vetch","Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Astragalus","Astragalus miser","var.","serotinus"
"130","Astragalus missouriensis","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus missouriensis",NA,NA
"131","Astragalus neglectus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus neglectus",NA,NA
"132","Astragalus pectinatus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus pectinatus",NA,NA
"133","Astragalus purshii","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus purshii",NA,NA
"134","Astragalus purshii var. glareosus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus purshii","var.","glareosus"
"135","Astragalus purshii var. purshii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus purshii","var.","purshii"
"136","Astragalus racemosus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus racemosus",NA,NA
"137","Astragalus racemosus var. racemosus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus racemosus","var.","racemosus"
"138","Astragalus robbinsii","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus robbinsii",NA,NA
"139","Astragalus robbinsii var. fernaldii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus robbinsii","var.","fernaldii"
"140","Astragalus robbinsii var. minor","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus robbinsii","var.","minor"
"141","Astragalus sclerocarpus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus sclerocarpus",NA,NA
"142","Astragalus spatulatus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus spatulatus",NA,NA
"143","Astragalus tenellus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus tenellus",NA,NA
"144","Astragalus umbellatus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus umbellatus",NA,NA
"145","Astragalus vexilliflexus","y","y",NA,"Milk-vetch","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus vexilliflexus",NA,NA
"146","Astragalus vexilliflexus var. vexilliflexus","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus vexilliflexus","var.","vexilliflexus"
"147","Astragalus williamsii","y","y",NA,"Milk-vetch","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Astragalus","Astragalus williamsii",NA,NA
"148","Balsamorhiza deltoidea","y","y",NA,"Balsamroot","Y","N","Y","roots, sprouts","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Balsamorhiza","Balsamorhiza deltoidea",NA,NA
"149","Balsamorhiza sagittata","y","y",NA,"Balsamroot","Y","N","Y","roots, greens, stems, seeds","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Balsamorhiza","Balsamorhiza sagittata",NA,NA
"150","Betula alleghaniensis","y","y",NA,"Birch","Y","Y","Y","twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula","Betula alleghaniensis",NA,NA
"151","Betula lenta","y","y",NA,"Birch","Y","Y","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula","Betula lenta",NA,NA
"152","Betula occidentalis","y","y",NA,"Birch","Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Betula","Betula occidentalis",NA,NA
"153","Betula papyrifera","y","y",NA,"Birch","Y","Y","Y","leaves, twigs and sap","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Betula","Betula papyrifera",NA,NA
"154","Betula populifolia","y","y",NA,"Birch","Y","Y","N","","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Betula","Betula populifolia",NA,NA
"155","Blitum capitatum","y","y",NA,"Spinach","N","Y","Y","strawberry spinach; greens and fruit","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Blitum","Blitum capitatum",NA,NA
"156","Blitum capitatum subsp. capitatum","y","y",NA,"Spinach","Y","Y","Y","strawberry spinach; greens and fruit","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Blitum","Blitum capitatum","subsp.","capitatum"
"157","Blitum nuttallianum","y","y",NA,"Spinach","Y","Y","N","","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Blitum","Blitum nuttallianum",NA,NA
"158","Bromus anomalus","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus anomalus",NA,NA
"159","Bromus ciliatus","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus ciliatus",NA,NA
"160","Bromus inermis","y","y",NA,"Bromegrass","Y","Y","N","","N","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus inermis",NA,NA
"161","Bromus kalmii","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus kalmii",NA,NA
"162","Bromus carinatus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Bromus","Bromus carinatus",NA,NA
"163","Bromus carinatus var. marginatus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Bromus","Bromus carinatus","var.","marginatus"
"164","Bromus pacificus","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus pacificus",NA,NA
"165","Bromus porteri","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus porteri",NA,NA
"166","Bromus pubescens","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus pubescens",NA,NA
"167","Bromus sitchensis","y","y",NA,"Bromegrass","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus sitchensis",NA,NA
"168","Bromus sitchensis var. aleutensis","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus sitchensis","var.","aleutensis"
"169","Bromus sitchensis var. sitchensis","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus sitchensis","var.","sitchensis"
"170","Bromus vulgaris","y","y",NA,"Bromegrass","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","","Bromus","Bromus vulgaris",NA,NA
"171","Calamagrostis canadensis","y","y",NA,"Bluejoint","N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","","Calamagrostis","Calamagrostis canadensis",NA,NA
"172","Calamagrostis canadensis var. canadensis","y","y",NA,"Bluejoint","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","","Calamagrostis","Calamagrostis canadensis","var.","canadensis"
"173","Calamagrostis purpurea","y","y",NA,"Bluejoint","Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","","Calamagrostis","Calamagrostis purpurea",NA,NA
"174","Caltha leptosepala","y","y",NA,"Marsh marigold","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Caltha","Caltha leptosepala",NA,NA
"175","Calypso bulbosa","y","y",NA,"Orchid","N","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Calypso","Calypso bulbosa",NA,NA
"176","Calypso bulbosa var. americana","y","y",NA,"Orchid","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Calypso","Calypso bulbosa","var.","americana"
"177","Calypso bulbosa var. occidentalis","y","y",NA,"Orchid","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Calypso","Calypso bulbosa","var.","occidentalis"
